Team,Full Team Name,Base,Team Chief,Technical Chief,Chassis,Power Unit,First Team Entry,World Championships,Highest Race Finish,Pole Positions,Fastest Laps
Red Bull Racing,Oracle Red Bull Racing,"Milton Keynes, United Kingdom",Christian Horner,Pierre Wache,RB19,Honda RBPT,1997,5,1(x103),91,92
Ferrari,Scuderia Ferrari,"Maranello, Italy",Frederic Vasseur,Enrico Cardile / Enrico Gualtieri,SF23,Ferrari,1950,16,1(x243),244,259
Mercedes,Mercedes-AMG Petronas F1 Team,"Brackley, United Kingdom",Toto Wolff,James Allison,W14,Mercedes,1970,8,1(x116),129,93
Alpine,BWT Alpine F1 Team,"Enstone, United Kingdom",Otmar Szafneuer,Pat Fry,A523,Renault,1986,2,1(x21),20,15
McLaren,McLaren F1 Team,"Woking, United Kingdom",Andrea Stella,Peter Prodromou,MCL60,Mercedes,1966,8,1(x183),156,162
Alfa Romeo,Alfa Romeo F1 Team Stake,"Hinwil, Switzerland",Alessandro Alunni Bravi,Jan Monchaux,C43,Ferrari,1993,0,1(x1),1,7
Aston Martin,Aston Martin Aramco Cognizant F1 Team,"Silverstone, United Kingdom",Mike Krack,Dan Fallows,AMR23,Mercedes,2018,0,1(x1),1,0
Haas,MoneyGram Haas F1 Team,"Kannapolis, United States",Guenther Steiner,Simone Resta,VF23,Ferrari,2016,0,4(x1),1,2
AlphaTauri,Scuderia AlphaTauri,"Faenza, Italy",Franz Tost,Jody Egginton,AT04,Honda RBPT,1985,0,1(x2),1,2
Williams,Williams Racing,"Grove, United Kingdom",James Vowles,TBC,FW45,Mercedes,1978,9,1(x114),128,133
